date,UMDF Channel Derivatives,Number of Messages,Maximum MPS (msgs/sec),Estimated Max Bandwidth (Mbps),MPS (msgs/sec),Bandwidth (Mbps)
20200110,MBO Ch.4 - Interest rate Option,42.509,766,"   0,5095",0,0 
20200110,MBO Ch.5 - Commodity Futures,99.084,225,"   0,1535",0,0 
20200110,MBO Ch.6 - Commodity Options,54.193,1.807,"   1,1590",0,0 
20200110,MBO Ch.7 - Equity Index Futures,1.603.550,1.200,"   0,7269",1200,"   0,7269 "
20200110,MBO Ch.8 - Market Maker Program,2.661.050,592,"   0,3597",471,"   0,2872 "
20200110,MBO Ch.9 - FX Spot,2.268,13,"   0,0051",0,0 
20200110,MBO Ch.10 - Equity Index Fut-mini,9.577.848,4.616,"   4,1673",3973,"   3,8536 "
20200113,Peak of Messages - 11:20:23,0,0,0,6822,"   5,9362"
20200113,MBO Ch.1 - FX Futures,3.801.117,2.218,"   1,7534",511,"   0,3583 "
20200113,MBO Ch.2 - FX Options,831.375,1.364,"   0,9278",12,"   0,0076 "
20200113,MBO Ch.3 - Interest rate Futures,605.613,2.758,"   1,7064",70,"   0,0407 "
20200113,MBO Ch.4 - Interest rate Option,34.369,707,"   0,4550",0,0 
20200113,MBO Ch.5 - Commodity Futures,87.711,366,"   0,2422",0,0 
20200113,MBO Ch.6 - Commodity Options,46.311,1.897,"   1,2316",0,0 
20200113,MBO Ch.7 - Equity Index Futures,2.302.265,1.688,"   1,1258",1478,"   0,9356 "
20200113,MBO Ch.8 - Market Maker Program,2.400.948,585,"   0,3377",74,"   0,0550 "
20200113,MBO Ch.9 - FX Spot,2.194,13,"   0,0040",0,0 
20200113,MBO Ch.10 - Equity Index Fut-mini,10.055.184,4.745,"   4,5390",4677,"   4,5390 "
20200114,Peak of Messages - 15:36:48,0,0,0,13921,"  11,3385"
20200114,MBO Ch.1 - FX Futures,4.068.813,4.306,"   3,4965",4306,"   3,4965 "
20200114,MBO Ch.2 - FX Options,542.158,1.114,"   0,7329",486,"   0,2910 "
20200114,MBO Ch.3 - Interest rate Futures,907.087,3.909,"   2,3830",1386,"   0,8300 "
20200114,MBO Ch.4 - Interest rate Option,43.819,866,"   0,5713",0,0 
20200114,MBO Ch.5 - Commodity Futures,118.481,227,"   0,1581",35,"   0,0199 "
20200114,MBO Ch.6 - Commodity Options,53.867,1.540,"   1,0084",0,0 
20200114,MBO Ch.7 - Equity Index Futures,2.054.568,1.864,"   1,2298",1864,"   1,2298 "
20200114,MBO Ch.8 - Market Maker Program,2.339.113,532,"   0,3249",388,"   0,2445 "
20200114,MBO Ch.9 - FX Spot,2.212,14,"   0,0122",0,0 
20200114,MBO Ch.10 - Equity Index Fut-mini,9.849.425,5.456,"   5,2269",5456,"   5,2269 "
20200115,Peak of Messages - 10:06:41,0,0,0,8366,"   7,0560"
20200115,MBO Ch.1 - FX Futures,4.424.988,2.619,"   1,8415",514,"   0,3293 "
20200115,MBO Ch.2 - FX Options,667.232,1.362,"   0,9156",62,"   0,0389 "
20200115,MBO Ch.3 - Interest rate Futures,862.689,5.891,"   3,5581",319,"   0,1860 "
20200115,MBO Ch.4 - Interest rate Option,43.978,868,"   0,5740",0,0 
20200115,MBO Ch.5 - Commodity Futures,85.492,214,"   0,1480",1,"   0,0005 "
20200115,MBO Ch.6 - Commodity Options,54.846,1.736,"   1,1318",0,0 
20200115,MBO Ch.7 - Equity Index Futures,1.973.919,1.437,"   0,9230",1437,"   0,9158 "
20200115,MBO Ch.8 - Market Maker Program,677.810,440,"   0,2493",1,"   0,0004 "
20200115,MBO Ch.9 - FX Spot,2.191,13,"   0,0040",0,0 
20200115,MBO Ch.10 - Equity Index Fut-mini,10.252.726,6.032,"   5,5851",6032,"   5,5851 "
20200116,Peak of Messages - 10:35:47,0,0,0,7515,"   6,1799"
20200116,MBO Ch.1 - FX Futures,4.117.161,1.669,0,465,"   0,2799 "
20200116,MBO Ch.2 - FX Options,945.235,1.249,0,179,"   0,1324 "
20200116,MBO Ch.3 - Interest rate Futures,922.850,6.089,0,143,"   0,0741 "
20200116,MBO Ch.4 - Interest rate Option,48.860,879,0,0,0 
20200116,MBO Ch.5 - Commodity Futures,52.169,110,0,4,"   0,0026 "
20200116,MBO Ch.6 - Commodity Options,55.106,2.036,0,0,0 
20200116,MBO Ch.7 - Equity Index Futures,2.084.123,1.599,0,1599,"   1,0265 "
20200116,MBO Ch.8 - Market Maker Program,3.626.379,578,0,145,"   0,1084 "
20200116,MBO Ch.9 - FX Spot,2.232,13,0,0,0 
20200116,MBO Ch.10 - Equity Index Fut-mini,10.095.097,4.980,0,4980,"   4,5558 "
20200117,Peak of Messages - 11:01:07,0,0,0,6298,"   5,1094"
20200117,MBO Ch.1 - FX Futures,4.073.688,2.637,"   2,0448",173,"   0,0923 "
20200117,MBO Ch.2 - FX Options,484.567,1.161,"   0,7782",55,"   0,0397 "
20200117,MBO Ch.3 - Interest rate Futures,922.685,4.754,"   2,9275",69,"   0,0396 "
20200117,MBO Ch.4 - Interest rate Option,49.632,845,"   0,5615",0,0 
20200117,MBO Ch.5 - Commodity Futures,65.833,140,"   0,0928",1,"   0,0007 "
20200117,MBO Ch.6 - Commodity Options,57.940,1.380,"   0,8658",0,0 
20200117,MBO Ch.7 - Equity Index Futures,1.654.220,1.332,"   0,8824",1332,"   0,8824 "
20200117,MBO Ch.8 - Market Maker Program,4.849.676,603,"   0,3674",249,"   0,1742 "
20200117,MBO Ch.9 - FX Spot,2.313,13,"   0,0058",0,0 
20200117,MBO Ch.10 - Equity Index Fut-mini,8.309.360,4.419,"   3,9805",4419,"   3,8805 "
20200120,Peak of Messages - 10:08:19,0,0,0,7231,"   5,5102"
20200120,MBO Ch.1 - FX Futures,2.915.072,1.901,"   1,6421",570,"   0,3604 "
20200120,MBO Ch.2 - FX Options,410.111,1.197,"   0,8054",45,"   0,0244 "
20200120,MBO Ch.3 - Interest rate Futures,496.595,4.514,"   2,4097",520,"   0,2991 "
20200120,MBO Ch.4 - Interest rate Option,34.394,826,"   0,5465",0,0 
20200120,MBO Ch.5 - Commodity Futures,9.623,95,"   0,0465",0,0 
20200120,MBO Ch.6 - Commodity Options,40.561,1.367,"   0,8712",0,0 
20200120,MBO Ch.7 - Equity Index Futures,1.286.892,1.325,"   0,8831",1005,"   0,6420 "
20200120,MBO Ch.8 - Market Maker Program,2.894.567,290,"   0,2041",140,"   0,1041 "
20200120,MBO Ch.9 - FX Spot,2.242,13,"   0,0042",0,0 
20200120,MBO Ch.10 - Equity Index Fut-mini,7.992.159,5.654,"   4,3808",4951,"   4,0802 "
20200121,Peak of Messages - 10:09:10,0,0,0,7424,"   6,4002"
20200121,MBO Ch.1 - FX Futures,4.722.022,4.119,0,749,"   0,4918 "
20200121,MBO Ch.2 - FX Options,408.556,1.128,0,29,"   0,0158 "
20200121,MBO Ch.3 - Interest rate Futures,957.204,4.303,0,1120,"   0,6512 "
20200121,MBO Ch.4 - Interest rate Option,42.162,837,0,0,0 
20200121,MBO Ch.5 - Commodity Futures,88.132,138,0,2,"   0,0009 "
20200121,MBO Ch.6 - Commodity Options,45.722,1.688,0,1,"   0,0005 "
20200121,MBO Ch.7 - Equity Index Futures,1.802.066,1.369,0,650,"   0,4067 "
20200121,MBO Ch.8 - Market Maker Program,5.356.505,759,0,149,"   0,1096 "
20200121,MBO Ch.9 - FX Spot,2.470,13,0,0,0 
20200121,MBO Ch.10 - Equity Index Fut-mini,11.168.908,5.383,0,4724,"   4,7236 "
20200122,Peak of Messages - 15:40:23,0,0,0,11215,"   8,8175"
20200122,MBO Ch.1 - FX Futures,0,0,0,1912,"   1,4184 "
20200122,MBO Ch.2 - FX Options,0,0,0,163,"   0,0887 "
20200122,MBO Ch.3 - Interest rate Futures,0,0,0,1686,"   0,9679 "
20200122,MBO Ch.4 - Interest rate Option,0,0,0,0,0 
20200122,MBO Ch.5 - Commodity Futures,0,0,0,7,"   0,0045 "
20200122,MBO Ch.6 - Commodity Options,0,0,0,0,0 
20200122,MBO Ch.7 - Equity Index Futures,0,0,0,1640,"   1,0436 "
20200122,MBO Ch.8 - Market Maker Program,0,0,0,156,"   0,1171 "
20200122,MBO Ch.9 - FX Spot,0,0,0,0,0 
20200122,MBO Ch.10 - Equity Index Fut-mini,0,0,0,5651,"   5,1773 "
20200123,Peak of Messages - 11:32:59,0,0,0,10617,"   8,1949"
20200123,MBO Ch.1 - FX Futures,4.806.521,2.048,0,609,"   0,4528 "
20200123,MBO Ch.2 - FX Options,367.476,1.146,0,57,"   0,0373 "
20200123,MBO Ch.3 - Interest rate Futures,1.181.832,7.460,0,946,"   0,5624 "
20200123,MBO Ch.4 - Interest rate Option,46.228,860,0,0,0 
20200123,MBO Ch.5 - Commodity Futures,78.484,330,0,0,0 
20200123,MBO Ch.6 - Commodity Options,42.341,1.247,0,0,0 
20200123,MBO Ch.7 - Equity Index Futures,3.152.933,1.873,0,1873,"   1,2240 "
20200123,MBO Ch.8 - Market Maker Program,5.821.545,557,0,339,"   0,2235 "
20200123,MBO Ch.9 - FX Spot,2.250,14,0,0,0 
20200123,MBO Ch.10 - Equity Index Fut-mini,13.365.251,6.793,0,6793,"   5,6948 "
20200124,Peak of Messages - 12:10:32,0,0,0,8394,"   6,9849"
20200124,MBO Ch.1 - FX Futures,4.605.905,2.131,"   1,5516",375,"   0,2220 "
20200124,MBO Ch.2 - FX Options,366.269,1.133,"   0,7765",32,"   0,0209 "
20200124,MBO Ch.3 - Interest rate Futures,1.133.297,5.534,"   3,3865",189,"   0,1119 "
20200124,MBO Ch.4 - Interest rate Option,40.459,852,"   0,5685",0,0 
20200124,MBO Ch.5 - Commodity Futures,70.283,150,"   0,1017",1,"   0,0005 "
20200124,MBO Ch.6 - Commodity Options,48.942,2.029,"   1,3380",0,0 
20200124,MBO Ch.7 - Equity Index Futures,2.757.979,1.552,"   1,0340",1552,"   1,0340 "
20200124,MBO Ch.8 - Market Maker Program,3.379.060,400,"   0,2506",133,"   0,0904 "
20200124,MBO Ch.9 - FX Spot,2.246,13,"   0,0058",0,0 
20200124,MBO Ch.10 - Equity Index Fut-mini,14.967.477,6.112,"   5,5053",6112,"   5,5053 "
20200127,Peak of Messages - 11:17:29,0,0,0,7006,"   6,2509"
20200127,MBO Ch.1 - FX Futures,4.612.404,3.264,"   2,1319",387,"   0,2396 "
20200127,MBO Ch.2 - FX Options,337.604,1.190,"   0,7863",0,0 
20200127,MBO Ch.3 - Interest rate Futures,910.053,4.117,"   2,5110",73,"   0,0414 "
20200127,MBO Ch.4 - Interest rate Option,42.349,836,"   0,5511",0,0 
20200127,MBO Ch.5 - Commodity Futures,79.937,194,"   0,1332",0,0 
20200127,MBO Ch.6 - Commodity Options,48.350,1.731,"   1,1190",0,0 
